	tweets	class
0	 Get fucking real dude.	3
1	 She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...	3
2	 why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.	3
3	 Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.	3
4	 WTF are you talking about Men? No men thats not a menage  that's just gay.	3
5	Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.	3
6	 Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did	3
7	...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol	3
8	"Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up."""	3
9	LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.	3
10	truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's	3
11	Shakespeare nerd!	3
12	you are SUCH a fucking dork	3
13	Heh. Fuck 'em WHERE?!?	3
14	damn it i totally forgot that one!	3
15	wow  damn I would have been pissed @ that...	3
16	nigga u geigh lmao! fuck yo finals beeeeeitch	3
17	that sucks :(	3
18	"read that this morning. my fav is how they just straight up say ""cum shots"""	3
19	Unibroue 17 !!!! Another damn good Unibroue	3
20	damn your evil 60 minute IPA beckoning me from the fridge right now...	3
21	It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.	3
22	it pretty much is a fuck you card..	3
23	that karma is a bitch  HUH	3
24	don't get too fat or you'll turn into a boomer	3
25	the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.	3
26	except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?	3
27	man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.	3
28	hard to kick ass yourself with slippers on?  On it.	3
29	Thats pretty damn awesome! Very smart :) @Aaronage Sure!	3
30	freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool	3
31	Damn  that sounds good...	3
32	they should have a wii loser..that way you can compete with your wii friends.	3
33	@markmancao haha. i love it! gay nights for all!	3
34	that's awesome! you're pretty damn good!	3
35	Faggoty fag fag. Gay secks man blowjob. Settle down.	3
36	Right. That wouldn't be creepy as fuck.	3
37	HOLY SHIT. Fuck that band.	3
38	Gay fag.	3
39	oh ok it's the dick-in-a-box guys  that explains the timberlake appearance	3
40	*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?	3
41	and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay	3
42	 oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you	3
43	"where'd ya put it? o btw: ""kick ass quote Copyright&#169; 2009 @abcd91 All Rights Reserved"""	3
44	It sucks to be done with exams n still be @ Mayag.	3
45	Epic WINS for Fuck City&lt;3	3
46	Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol	3
47	 aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!	3
48	fuck yes.  I hate them at work...	3
49	Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic	3
50	but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!	3
51	damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.	3
52	I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.	3
53	damn.  did you buy bitchy too?	3
54	then by all means  bitch away! haha.	3
55	sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.	3
56	Let that pussy freeze. Rotten bitey little bastard.	3
57	Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.	3
58	hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.	3
59	I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa	3
60	imagine a building. not any building...a fucking 300 acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!	3
61	Ugh  twitter stop it  you fucking slut.	3
62	HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAHAAH	3
63	cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha	3
64	Fuck the pics! @giove_dea WE WANT VIDS!!	3
65	Hard to play because it is damn fucking awful	3
66	you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time	3
67	no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol	3
68	oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.	3
69	"you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  ""I'd hate to be a bird."""	3
70	I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.	3
71	Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!	3
72	FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!	3
73	another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!	3
74	"there's nothing better than listening to music on shuffle and hearing you say ""you bitch!"" randomly in the middle of it."	3
75	I got it. How many damn websites do u have homie! Sheesh!	3
76	U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!	3
77	 kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!	3
78	haris i m trying to control my fat tummy did'nt eat from 2 days :D	3
79	700. you glutinous bitch!	3
80	Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad)	3
81	So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!	3
82	lo thankyou.. will see you soon :) and i hav to send a mail to u damn!	3
83	Have you tried 'fuck' and 'Fuck'? (yes  they are different)	3
84	Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.	3
85	damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol	3
86	that sucks... she should prolly just change her major lol	3
87	that sucks... so are there plans to get back together? or are they done?	3
88	you are a fatty fat fat	3
89	you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!	3
90	they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.	3
91	no one likes every fat snack u do bitch! so shaddup ahahahahaha	3
92	stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!	3
93	ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???	3
94	'Night Guy' is ALL motivated @ 11pm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!	3
95	OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;)	3
96	mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL	3
97	"lol @ ""the bitch"". damn."	3
98	damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.	3
99	Slurpees are awesome. Damn  now I really really want one O.o	3
100	"I can see it now. ""Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!"	3
101	i loved it  i laughed my ass off	3
102	ahh  you might be on to something...damn techies	3
103	The pig of shame? Lol! Is that like the aardvark of discontent?	3
104	Still - it's damn moronic that media people can't access media - particularly media made by their own company!	3
105	if anyone said Arial I'm gonna beat their ass.	3
106	well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.	3
107	Tell her she says Bitch like it's a bad thing	3
108	I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon	3
109	Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p	3
110	You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.	3
111	Damn  you're totally geeking out on us tonite.	3
112	the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.	3
113	we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...	3
114	Let your hate for Gambit grow. Embrace it. Spread it.	3
115	dig deep and find that special Christmas hate!	3
116	I tried to rickroll my office christmas party last night but the damn band didn't know it!	3
117	even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.	3
118	Smack a bitch? :-D	3
119	rock  not the. He gives the emo populists limp wrist rocker throw.	3
