	tweets	pos	neg	class
0	As a woman you shouldn't complain about cleaning up your house.  as a man you should always take the trash out...	0.174	0.0	0
1	boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!	0.0	0.271	1
2	You ever fuck a bitch and she start to cry? You be confused as shit	0.0	0.803	1
3	she look like a tranny	0.556	0.0	1
4	The shit you hear about me might be true or it might be faker than the bitch who told it to ya	0.163	0.43	1
5	"The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! """	0.196	0.263	1
6	"I can not just sit up and HATE on another bitch .. I got too much shit going on!"""	0.0	0.634	1
7	cause I'm tired of you big bitches coming for us skinny girls!!	0.0	0.513	1
8	"""  you might not get ya bitch back  thats that """	0.0	0.352	1
9	"hobbies include: fighting Mariam""bitch"	0.0	0.612	1
10	""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"	0.288	0.332	1
11	""" Murda Gang bitch its Gang Land """	0.0	0.388	1
12	""" So hoes that smoke are losers ? "" yea ... go on IG"	0.0	0.289	1
13	""" bad bitches is the only thing that i like """	0.194	0.574	1
14	""" bitch get up off me """	0.0	0.559	1
15	""" bitch nigga miss me with it """	0.0	0.643	1
16	""" bitch plz whatever """	0.16	0.469	1
17	""" bitch who do you love """	0.42	0.38	1
18	""" bitches get cut off everyday B """	0.0	0.6	1
19	""" black bottle  a bad bitch """	0.0	0.646	1
20	""" broke bitch cant tell me nothing """	0.0	0.569	1
21	""" cancel that bitch like Nino """	0.221	0.513	1
22	""" cant you see these hoes wont change """	0.0	0.0	1
23	""" fuck no that bitch dont even suck dick ""  the Kermit videos bout to fuck IG up"	0.214	0.452	1
24	""" her pussy lips like Heaven doors """	0.537	0.0	1
25	""" hoe what its hitting for """	0.0	0.0	1
26	""" i met that pussy on Ocean Dr . i gave that pussy a pill """	0.0	0.0	1
27	""" i need a trippy bitch who fuck on Hennessy """	0.0	0.593	1
28	""" i spend my money how i want bitch its my business """	0.129	0.376	1
29	""" i txt my old bitch my new bitch pussy wetter """	0.0	0.521	1
30	""" i'd say im back to the old me but my old bitches would get excited """	0.147	0.239	1
31	""" if you aint bout that Murder Game pussy nigga shut up """	0.318	0.0	1
32	""" if you're toes ain't done you pussy stinks """	0.179	0.0	1
33	""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """	0.0	0.556	1
34	""" is that ya bitch """	0.0	0.559	1
35	""" it aint nothing to cut a bitch off """	0.0	0.508	1
36	""" jus meet son now he ya mane ass bitches "" #Shots"	0.0	0.481	1
37	""" lames crying over hoes thats tears of a clown """	0.0	0.59	1
38	""" like Snoop said in 94 we dont love these hoes """	0.194	0.262	1
39	""" momma said no pussy cats inside my doghouse """	0.0	0.0	0
40	""" pimps up pimps up hoes down "" Future voice"	0.0	0.0	1
41	""" post a picture of that pussy get 200 likes """	0.286	0.0	1
42	""" quick piece of pussy call it a drive by """	0.0	0.0	1
43	""" running round here like some brand new pussy thats bout to get fucked """	0.148	0.26	1
44	""" these bitches even worst they'll send them guys for you """	0.0	0.571	1
45	""" these hoes like niggas that spend money not talk bout it """	0.21	0.202	1
46	""" we dont trust these niggas all these bitches """	0.476	0.248	1
47	""" yall niggas b cuffing hoes cause yall aint never have bitches """	0.0	0.357	1
48	"""All da bitches I cut off pregnant or bound to be ....thank God """	0.261	0.341	1
49	""" young Pill Chamberlain these bitches love my music """	0.298	0.277	1
50	"Teanna Trump probably cleaner than most of these twitter hoes but........."""	0.159	0.0	1
51	"Gay niggas couldn't wait to act like bitches tonight"""	0.0	0.546	1
52	"And ima steal his cat n replace it with a pitbull   :  He a bitch you should do it"""	0.0	0.5	1
53	""" he's gone always be a hoe"""	0.0	0.0	1
54	"""...Son of a bitch took my Tic Tacs.""I like this movie."	0.175	0.266	1
55	"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"	0.0	0.435	1
56	"I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers"". Retweet"	0.372	0.0	1
57	"I'm a fucking fag they said"""	0.0	0.459	1
58	"Females think dating a pussy is cute now? "" how does doing this stuff make him a pussy?"	0.296	0.0	1
59	"-SimplyAddictedToGuys "" woof woof hot scally lad"	0.0	0.0	0
