	Unnamed: 0	tweets	class
0	0	As a woman you shouldn't complain about cleaning up your house.  as a man you should always take the trash out...	0
1	1	boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!	1
2	2	You ever fuck a bitch and she start to cry? You be confused as shit	1
3	3	she look like a tranny	1
4	4	The shit you hear about me might be true or it might be faker than the bitch who told it to ya	1
5	5	"The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! """	1
6	6	"I can not just sit up and HATE on another bitch .. I got too much shit going on!"""	1
7	7	cause I'm tired of you big bitches coming for us skinny girls!!	1
8	8	"""  you might not get ya bitch back  thats that """	1
9	9	"hobbies include: fighting Mariam""bitch"	1
10	10	""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"	1
11	11	""" Murda Gang bitch its Gang Land """	1
12	12	""" So hoes that smoke are losers ? "" yea ... go on IG"	1
13	13	""" bad bitches is the only thing that i like """	1
14	14	""" bitch get up off me """	1
15	15	""" bitch nigga miss me with it """	1
16	16	""" bitch plz whatever """	1
17	17	""" bitch who do you love """	1
18	18	""" bitches get cut off everyday B """	1
19	19	""" black bottle  a bad bitch """	1
20	20	""" broke bitch cant tell me nothing """	1
21	21	""" cancel that bitch like Nino """	1
22	22	""" cant you see these hoes wont change """	1
23	23	""" fuck no that bitch dont even suck dick ""  the Kermit videos bout to fuck IG up"	1
24	24	""" her pussy lips like Heaven doors """	1
25	25	""" hoe what its hitting for """	1
26	26	""" i met that pussy on Ocean Dr . i gave that pussy a pill """	1
27	27	""" i need a trippy bitch who fuck on Hennessy """	1
28	28	""" i spend my money how i want bitch its my business """	1
29	29	""" i txt my old bitch my new bitch pussy wetter """	1
30	30	""" i'd say im back to the old me but my old bitches would get excited """	1
31	31	""" if you aint bout that Murder Game pussy nigga shut up """	1
32	32	""" if you're toes ain't done you pussy stinks """	1
33	33	""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """	1
34	34	""" is that ya bitch """	1
35	35	""" it aint nothing to cut a bitch off """	1
36	36	""" jus meet son now he ya mane ass bitches "" #Shots"	1
37	37	""" lames crying over hoes thats tears of a clown """	1
38	38	""" like Snoop said in 94 we dont love these hoes """	1
39	39	""" momma said no pussy cats inside my doghouse """	0
40	40	""" pimps up pimps up hoes down "" Future voice"	1
41	41	""" post a picture of that pussy get 200 likes """	1
42	42	""" quick piece of pussy call it a drive by """	1
43	43	""" running round here like some brand new pussy thats bout to get fucked """	1
44	44	""" these bitches even worst they'll send them guys for you """	1
45	45	""" these hoes like niggas that spend money not talk bout it """	1
46	46	""" we dont trust these niggas all these bitches """	1
47	47	""" yall niggas b cuffing hoes cause yall aint never have bitches """	1
48	48	"""All da bitches I cut off pregnant or bound to be ....thank God """	1
49	49	""" young Pill Chamberlain these bitches love my music """	1
50	50	"Teanna Trump probably cleaner than most of these twitter hoes but........."""	1
51	51	"Gay niggas couldn't wait to act like bitches tonight"""	1
52	52	"And ima steal his cat n replace it with a pitbull   :  He a bitch you should do it"""	1
53	53	""" he's gone always be a hoe"""	1
54	54	"""...Son of a bitch took my Tic Tacs.""I like this movie."	1
55	55	"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"	1
56	56	"I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers"". Retweet"	1
57	57	"I'm a fucking fag they said"""	1
58	58	"Females think dating a pussy is cute now? "" how does doing this stuff make him a pussy?"	1
59	59	"-SimplyAddictedToGuys "" woof woof hot scally lad"	0
60	60	"Have ya ever asked your bitch for other bitches - kanye voice"" Yes"	1
61	61	"How u gone bring ur side bitch to a game where You know Ya gf friends at ?! "" I SWEAR!!!!!"	1
62	62	""" woof woof and hot soles"	0
63	63	"Lemmie eat a Oreo  do these dishes."" One oreo? Lol"	0
64	64	"bitch fuck u "" maybe you'll get better. Just"	1
65	65	"Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"	1
66	66	"Why the eggplant emoji doe?""y he say she looked like scream lmao"	0
67	67	"Hennessey Venom GT  "" that's one sexy bitch"	1
68	68	"Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&ltlmao!!"	1
69	69	"#Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""	1
70	70	"Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life """	1
71	71	"baby monkey bathtime ""Awwwwe! This is soooo ADORABLE!"	0
72	72	"I ain't shit ."" Damn Skippy lol"	1
73	73	"u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt30%chance"	1
74	74	""" 0 rings 0 mvps 0 bitches lol"	1
75	75	"ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""	1
76	76	"The facts on tattoos...tattoo "" he's a pussy with not tattooing them nipples"	1
77	77	"Bitches be wanting to act like niggas so bad  that shit aint cuteeeee"" but niggas act like bitches.."	1
78	78	"Get worshiping bitch! "" woof woof"	1
79	79	"Wow.   I'm lost. Are those buttcheek piercings? "" yeah she's a hoe"	1
80	80	"Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"	1
81	81	"queer"" gaywad"	1
82	82	"faggot read my tweets after dat k"" it wasn't even funny lol"	1
83	83	"This bitch was so ungrateful "" fr ..... LULWHORE"	1
84	84	"I been kidnapped yo bitch"""	1
85	85	"alsarabsss"" hes a beaner smh you can tell hes a mexican"	1
86	86	"happy birthday nigs"" Thanks yo"	1
87	87	"when ur teacher tells u that u have homework https:"" this bitch need to go!!!"	1
88	88	""":  that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.."	1
89	89	"What would y'all lil ugly bald headed bitches do if they stop making make-up  weave?"""	1
90	90	"Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"	1
